Destination,Activity,Region,Sub-region,Rating,Expense
Christ the Redeemer,Skiing,Brazil,Amazonas,3.5,4009
Eiffel Tower,Theatre Show,France,Île-de-France,3.2,2358
Fushimi Inari Shrine,Food Tasting,Japan,Hokkaido,4.7,215
Fushimi Inari Shrine,Temple Visit,Japan,Tokyo Prefecture,3.5,4678
Iguazu Falls,Skiing,Brazil,São Paulo,3.9,1959
Mount Fuji,Beach Day,Japan,Kyoto Prefecture,3.5,397
Louvre Museum,Snorkeling,France,Brittany,4.5,632
Great Barrier Reef,Beach Day,Australia,Queensland,3.6,253
Fushimi Inari Shrine,Desert Safari,Japan,Osaka Prefecture,4.9,401
Durban Beachfront,Cultural Festival,South Africa,KwaZulu-Natal,4,595
Milan Cathedral,Museum Visit,Italy,Veneto,4,3592
Uluru,Food Tasting,Australia,New South Wales,4,3238
Grand Canyon,Historical Site,USA,New York,4.8,3372
Philae Temple,Skiing,Egypt,Aswan Governorate,4.5,2139
Sapporo Snow Festival,Wildlife Safari,Japan,Kyoto Prefecture,3.9,3960
Pyramids of Giza,City Tour,Egypt,Giza Governorate,3,4716
Christ the Redeemer,Cycling Tour,Brazil,Bahia,4,368
French Riviera,Hiking,France,Brittany,3.1,4798
Milan Cathedral,Museum Visit,Italy,Veneto,4.5,4110
Las Vegas Strip,Wildlife Safari,USA,Nevada,4,4195
CN Tower,Food Tasting,Canada,Alberta,4.2,536
Eiffel Tower,Desert Safari,France,Île-de-France,4,3101
Leaning Tower of Pisa,Boat Cruise,Italy,Veneto,4,1139
CN Tower,Historical Site,Canada,Quebec,3.3,4863
Rishikesh Ganga Aarti,Snorkeling,India,Goa,4.3,838
Twelve Apostles,Mountain Climbing,Australia,Western Australia,4.4,751
Table Mountain,Snorkeling,South Africa,Eastern Cape,4,4820
Eiffel Tower,Historical Site,France,Île-de-France,4.6,3655
Backwaters of Kerala,National Park Visit,India,Uttarakhand,3.8,3335
Fushimi Inari Shrine,Theatre Show,Japan,Hokkaido,3.1,3256
Venice Canals,Skiing,Italy,Lombardy,4.8,1502
Iguazu Falls,Beach Day,Brazil,Bahia,4.5,3501
Colosseum,Mountain Climbing,Italy,Veneto,4.4,4747
Taj Mahal,Beach Day,India,Kerala,4.2,393
Twelve Apostles,Mountain Climbing,Australia,New South Wales,4.7,3943
Yellowstone National Park,Historical Site,USA,Texas,4.3,4959
French Riviera,Mountain Climbing,France,Brittany,3.7,4196
Egyptian Museum,Scuba Diving,Egypt,Aswan Governorate,4,309
Grand Canyon,Temple Visit,USA,Florida,4.5,434
Sapporo Snow Festival,Desert Safari,Japan,Kyoto Prefecture,4.2,4619
Great Barrier Reef,Shopping,Australia,New South Wales,4.9,4379
Grand Canyon,National Park Visit,USA,New York,4.1,2495
Iguazu Falls,Mountain Climbing,Brazil,São Paulo,4.1,4226
Old Quebec City,Wine Tasting,Canada,Ontario,4.1,1191
Addo Elephant Park,Wildlife Safari,South Africa,Gauteng,4.8,911
Rishikesh Ganga Aarti,Shopping,India,Goa,4,1070
CN Tower,Food Tasting,Canada,British Columbia,4.2,3937
French Riviera,Shopping,France,Provence-Alpes-Côte d'Azur,3,3812
Durban Beachfront,Wildlife Safari,South Africa,KwaZulu-Natal,4.9,3504
Iguazu Falls,Boat Cruise,Brazil,Bahia,3,4373
Milan Cathedral,Cultural Festival,Italy,Lombardy,4.6,3519
Venice Canals,National Park Visit,Italy,Veneto,3.4,158
Great Barrier Reef,Skiing,Australia,Queensland,4.7,4413
Grand Canyon,Temple Visit,USA,Nevada,4.4,4665
Rishikesh Ganga Aarti,Wine Tasting,India,Goa,3.3,1270
Venice Canals,Cultural Festival,Italy,Lombardy,4.4,1024
Karnak Temple,Skiing,Egypt,Aswan Governorate,3.8,186
Disney World,Beach Day,USA,Texas,4.4,2407
Milan Cathedral,Beach Day,Italy,Tuscany,3.4,278
Christ the Redeemer,Shopping,Brazil,Amazonas,3.9,470
Leaning Tower of Pisa,Hiking,Italy,Lombardy,4.5,972
Niagara Falls,Theatre Show,Canada,Quebec,4.7,1970
Eiffel Tower,Hiking,France,Île-de-France,3.4,1867
Salvador Pelourinho,City Tour,Brazil,Bahia,3.9,4640
Mount Fuji,Food Tasting,Japan,Tokyo Prefecture,4.5,4589
Mont Saint-Michel,Shopping,France,Provence-Alpes-Côte d'Azur,3.3,397
Pyramids of Giza,National Park Visit,Egypt,Aswan Governorate,3.4,1460
Twelve Apostles,Desert Safari,Australia,Victoria,3.8,3172
Amazon Rainforest,Wine Tasting,Brazil,Amazonas,3,4321
Addo Elephant Park,Wine Tasting,South Africa,Eastern Cape,4.6,4855
Venice Canals,Theatre Show,Italy,Veneto,4.7,389
Colosseum,Museum Visit,Italy,Tuscany,3.3,265
Addo Elephant Park,Theatre Show,South Africa,KwaZulu-Natal,4.3,689
Christ the Redeemer,Boat Cruise,Brazil,Bahia,3.1,4800
CN Tower,Wildlife Safari,Canada,British Columbia,4.6,141
Rishikesh Ganga Aarti,Food Tasting,India,Goa,4.3,2163
Las Vegas Strip,Cultural Festival,USA,California,3.6,2306
Uluru,Beach Day,Australia,Queensland,4.6,1468
Backwaters of Kerala,Snorkeling,India,Tamil Nadu,3.6,4692
Jaipur City Palace,National Park Visit,India,Uttarakhand,4.3,608
Taj Mahal,Scuba Diving,India,Tamil Nadu,3.6,1892
Sydney Opera House,Museum Visit,Australia,New South Wales,3.4,3077
Fushimi Inari Shrine,Snorkeling,Japan,Tokyo Prefecture,4.1,3750
Fushimi Inari Shrine,Museum Visit,Japan,Tokyo Prefecture,3.9,743
Pyramids of Giza,Museum Visit,Egypt,Aswan Governorate,4.4,1608
Karnak Temple,Shopping,Egypt,Cairo Governorate,3.7,1203
